"set_id","year","month","day","arm_position","arm_qaqc_code","pin_number","height_mm","qaqc_code","reserve"
"CLMAJ-1","2012.0","11.0","29.0","1L",NA,"pin_1","75.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","1L",NA,"pin_2","114.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","1L",NA,"pin_3","115.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","1L",NA,"pin_4","94.5",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","1L",NA,"pin_5","105.5",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","1L",NA,"pin_6","104.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","1L",NA,"pin_7","118.5",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","1L",NA,"pin_8","127.5",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","1L",NA,"pin_9","129.5",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","3R",NA,"pin_1","111.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","3R",NA,"pin_2","113.5",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","3R",NA,"pin_3","114.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","3R",NA,"pin_4","120.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","3R",NA,"pin_5","124.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","3R",NA,"pin_6","109.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","3R",NA,"pin_7","106.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","3R",NA,"pin_8","127.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","3R",NA,"pin_9","114.5",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","5R",NA,"pin_1","117.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","5R",NA,"pin_2","86.5",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","5R",NA,"pin_3","93.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","5R",NA,"pin_4","92.5",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","5R",NA,"pin_5","75.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","5R",NA,"pin_6","81.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","5R",NA,"pin_7","94.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","5R",NA,"pin_8","91.5",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","5R",NA,"pin_9","74.5",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","7L",NA,"pin_1","82.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","7L",NA,"pin_2","90.5",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","7L",NA,"pin_3","83.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","7L",NA,"pin_4","108.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","7L",NA,"pin_5","97.0",NA,"GND"
"CLMAJ-1","2012.0","11.0","29.0","7L",NA,"pin_6","93.0",NA,"GND"
